Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,EAD*R,Loss,Expected Values
1,11.5,20.00%,0.007,2.3,9.2,0.0644
2,0.24,5.10%,0.0033,0.01224,0.22776,0.000751608
3,0.04,24.86%,0.0022,0.009944,0.030056,6.61232E-05
4,13.81,2.29%,0.0066,0.316249,13.493751,0.089058757
5,19.84,3.47%,0.002,0.688448,19.151552,0.038303104
6,20.61,20.84%,0.0002,4.295124,16.314876,0.003262975
7,24.9,34.91%,0.0089,8.69259,16.20741,0.144245949
8,18.76,36.44%,0.0059,6.836144,11.923856,0.07035075
9,10.23,39.59%,0.0026,4.050057,6.179943,0.016067852
10,19.55,25.11%,0.0008,4.909005,14.640995,0.011712796
11,1.14,33.29%,0,0.379506,0.760494,0
12,6.4,37.34%,0.0034,2.38976,4.01024,0.013634816
13,21.45,37.22%,0.0072,7.98369,13.46631,0.096957432
14,8.17,12.91%,0.005,1.054747,7.115253,0.035576265
15,15.73,14.68%,0.0056,2.309164,13.420836,0.075156682
16,8.73,37.14%,0.0059,3.242322,5.487678,0.0323773
17,24.02,39.85%,0.0029,9.57197,14.44803,0.041899287
18,11.92,26.54%,0.0064,3.163568,8.756432,0.056041165
19,15.78,16.66%,0.0041,2.628948,13.151052,0.053919313
20,0.04,10.34%,0.0043,0.004136,0.035864,0.000154215
21,24.73,15.51%,0.0046,3.835623,20.894377,0.096114134
22,7.49,16.67%,0.0004,1.248583,6.241417,0.002496567
23,20.15,9.45%,0.0041,1.904175,18.245825,0.074807883
24,2.92,26.40%,0.0041,0.77088,2.14912,0.008811392
25,0.3,32.34%,0.0039,0.09702,0.20298,0.000791622
26,1.95,12.78%,0.0016,0.24921,1.70079,0.002721264
27,10.57,28.81%,0.0063,3.045217,7.524783,0.047406133
28,19.41,30.77%,0.0099,5.972457,13.437543,0.133031676
29,16.09,22.67%,0.0022,3.647603,12.442397,0.027373273
30,5.65,32.08%,0.0067,1.81252,3.83748,0.025711116
31,1.13,8.87%,0.0068,0.100231,1.029769,0.007002429
32,17.07,27.81%,0.0089,4.747167,12.322833,0.109673214
33,2.93,3.48%,0.0041,0.101964,2.828036,0.011594948
34,21.87,30.66%,0.0045,6.705342,15.164658,0.068240961
35,18.92,31.15%,0.0007,5.89358,13.02642,0.009118494
36,22.8,23.28%,0.0048,5.30784,17.49216,0.083962368
37,10.8,19.95%,0.0042,2.1546,8.6454,0.03631068
38,24.74,13.13%,0.0037,3.248362,21.491638,0.079519061
39,6.76,15.65%,0.0074,1.05794,5.70206,0.042195244
40,6.51,16.35%,0.0004,1.064385,5.445615,0.002178246
41,24.33,33.94%,0.0036,8.257602,16.072398,0.057860633
42,21.01,19.86%,0.0078,4.172586,16.837414,0.131331829
43,13.57,17.00%,0.0079,2.3069,11.2631,0.08897849
44,8.97,37.63%,0.0023,3.375411,5.594589,0.012867555
45,3.15,16.53%,0.003,0.520695,2.629305,0.007887915
46,13.56,22.41%,0.0053,3.038796,10.521204,0.055762381
47,10.71,22.36%,0.0094,2.394756,8.315244,0.078163294
48,22.29,35.08%,0.0053,7.819332,14.470668,0.07669454
49,4.64,32.95%,0.0034,1.52888,3.11112,0.010577808
50,17.47,4.95%,0.0011,0.864765,16.605235,0.018265759
51,2.72,33.41%,0.0049,0.908752,1.811248,0.008875115
52,16.88,25.82%,0.0068,4.358416,12.521584,0.085146771
53,14.49,15.06%,0.0026,2.182194,12.307806,0.032000296
54,24.87,24.81%,0.0092,6.170247,18.699753,0.172037728
55,0.07,38.55%,0.0053,0.026985,0.043015,0.00022798
56,10.16,0.63%,0.0096,0.064008,10.095992,0.096921523
57,21.21,16.14%,0.0082,3.423294,17.786706,0.145850989
58,18.04,31.02%,0.0095,5.596008,12.443992,0.118217924
59,2.16,26.35%,0.0046,0.56916,1.59084,0.007317864
60,2.16,13.67%,0.0065,0.295272,1.864728,0.012120732
61,8.76,30.03%,0.0093,2.630628,6.129372,0.05700316
62,14.57,28.67%,0.005,4.177219,10.392781,0.051963905
63,14.9,10.44%,0.0076,1.55556,13.34444,0.101417744
64,4.56,37.78%,0.0075,1.722768,2.837232,0.02127924
65,2.28,21.66%,0.0004,0.493848,1.786152,0.000714461
66,13.69,26.56%,0.0061,3.636064,10.053936,0.06132901
67,20.74,5.91%,0.0061,1.225734,19.514266,0.119037023
68,7.14,15.40%,0.0032,1.09956,6.04044,0.019329408
69,22.9,26.81%,0.0071,6.13949,16.76051,0.118999621
70,20.82,1.78%,0.005,0.370596,20.449404,0.10224702
71,14.48,14.52%,0.0015,2.102496,12.377504,0.018566256
72,6.49,38.49%,0.0082,2.498001,3.991999,0.032734392
73,9.03,36.63%,0.0088,3.307689,5.722311,0.050356337
74,4.75,0.27%,0.01,0.012825,4.737175,0.04737175
75,4.02,33.34%,0.008,1.340268,2.679732,0.021437856
76,23.17,35.19%,0.0048,8.153523,15.016477,0.07207909
77,17.36,20.99%,0.0021,3.643864,13.716136,0.028803886
78,6.49,12.11%,0.0075,0.785939,5.704061,0.042780458
79,12.87,2.07%,0.0047,0.266409,12.603591,0.059236878
80,1.79,22.74%,0.0091,0.407046,1.382954,0.012584881
81,16.23,17.00%,0.0074,2.7591,13.4709,0.09968466
82,15.42,22.36%,0.0097,3.447912,11.972088,0.116129254
83,22.33,30.80%,0.0079,6.87764,15.45236,0.122073644
84,16.54,34.78%,0.0007,5.752612,10.787388,0.007551172
85,1.32,0.60%,0.0033,0.00792,1.31208,0.004329864
86,1.45,37.05%,0.0066,0.537225,0.912775,0.006024315
87,4.14,2.31%,0.0019,0.095634,4.044366,0.007684295
88,13.79,27.93%,0.0017,3.851547,9.938453,0.01689537
89,19.6,16.33%,0.0036,3.20068,16.39932,0.059037552
90,3.09,7.97%,0.0076,0.246273,2.843727,0.021612325
91,24.3,20.84%,0.0077,5.06412,19.23588,0.148116276
92,6.11,33.57%,0.0043,2.051127,4.058873,0.017453154
93,3.7,33.84%,0.0072,1.25208,2.44792,0.017625024
94,6.22,34.44%,0.0095,2.142168,4.077832,0.038739404
95,13.63,7.72%,0.0074,1.052236,12.577764,0.093075454
96,12.63,30.63%,0.0051,3.868569,8.761431,0.044683298
97,3.25,16.20%,0.0029,0.5265,2.7235,0.00789815
98,21.77,22.74%,0.0021,4.950498,16.819502,0.035320954
99,20.72,19.54%,0.0091,4.048688,16.671312,0.151708939
100,15.85,35.67%,0.0025,5.653695,10.196305,0.025490763
101,10.62,28.65%,0.0006,3.04263,7.57737,0.004546422
102,23.62,13.88%,0.0035,3.278456,20.341544,0.071195404
103,15.18,9.39%,0.0025,1.425402,13.754598,0.034386495
104,3.17,22.62%,0.0097,0.717054,2.452946,0.023793576
105,18.99,28.53%,0.0067,5.417847,13.572153,0.090933425
106,3.72,16.81%,0.0087,0.625332,3.094668,0.026923612
107,23.07,11.95%,0.0059,2.756865,20.313135,0.119847497
108,19.76,39.22%,0.005,7.749872,12.010128,0.06005064
109,22.17,38.07%,0.0034,8.440119,13.729881,0.046681595
110,22.09,2.08%,0.0065,0.459472,21.630528,0.140598432
111,2.04,36.63%,0.0027,0.747252,1.292748,0.00349042
112,9.04,0.29%,0.0005,0.026216,9.013784,0.004506892
113,18.03,17.65%,0.0074,3.182295,14.847705,0.109873017
114,19.89,38.91%,0.0025,7.739199,12.150801,0.030377003
115,14.7,7.55%,0.003,1.10985,13.59015,0.04077045
116,21.6,30.81%,0.0085,6.65496,14.94504,0.12703284
117,8.79,24.57%,0.003,2.159703,6.630297,0.019890891
118,17.12,3.87%,0.0085,0.662544,16.457456,0.139888376
119,11.24,20.44%,0.01,2.297456,8.942544,0.08942544
120,24.29,19.87%,0.0053,4.826423,19.463577,0.103156958
121,2.53,2.64%,0.0067,0.066792,2.463208,0.016503494
122,9.78,10.83%,0.0069,1.059174,8.720826,0.060173699
123,9.03,25.08%,0.0014,2.264724,6.765276,0.009471386
