,Part1,Part2,Part3,Count
27,group_bc4yj11,group_fw5dd74,Paddy_variety_sown,13
28,group_bc4yj11,group_fw5dd74,Potato_variety_sown,11
29,group_bc4yj11,group_fw5dd74,Wheat_variety_sown,7
38,group_bc4yj11,group_vy0xg99,B_2_1_2_4_Method_ado_raw_partial_burning,3
41,group_bc4yj11,group_vy0xg99,B_2_1_3_2_1_As_per_y_e_impact_of_mulching,5
43,group_bc4yj11,group_vy0xg99,B_2_1_4_3_As_per_you_incorporation_mixing,5
45,group_bc4yj11,group_vy0xg99,B_2_1_5_3_As_per_you_the_impact_of_Baling,5
57,group_bc4yj11,group_vy0xg99,C_1_1_1_If_yes_what_are_the_m,6
58,group_bc4yj11,group_vy0xg99,C_1_1_1_If_yes_what_are_the_m_001,6
61,group_bc4yj11,group_vy0xg99,How_do_you_manage_post_harvest,10
62,group_bc4yj11,group_vy0xg99,If_yes_what_are_the_major_cau_,6
63,group_bc4yj11,group_vy0xg99,If_yes_what_are_the_major_cau_001,6
68,group_bc4yj11,group_yp9vm14,B_3_1_3_Source_of_tool_Zero_till,5
74,group_bc4yj11,group_yp9vm14,B_3_2_3_Source_of_tool,5
75,group_bc4yj11,group_yp9vm14,B_3_2_3_Source_of_tool_Rotavator,5
86,group_bc4yj11,group_yp9vm14,B_3_4_3_Source_of_tool_MB_Plough,5
92,group_bc4yj11,group_yp9vm14,B_3_5_3_Source_of_tool_Mulcher,5
98,group_bc4yj11,group_yp9vm14,B_3_6_3_Source_of_tool_Super_SMS,4
102,group_bc4yj11,group_yp9vm14,B_3_7_3_Source_of_tool_Baler_Raker,5
109,group_bc4yj11,group_yp9vm14,B_3_8_3_Source_of_tool_Super_seeder,5
119,group_bc4yj11,group_yp9vm14,Which_tools_are_preferred_for_,9
139,group_mx3du33,group_dl9xq23,C_1_1_To_understand_y_you_in_this_season,5
140,group_mx3du33,group_dl9xq23,C_1_2_To_understand_y_you_in_this_season,5
141,group_mx3du33,group_dl9xq23,C_1_3_To_understand_y_you_in_this_season,5
142,group_mx3du33,group_zb2fl79,C_2_1_Which_source_of_informat,7
143,group_mx3du33,group_zb2fl79,C_2_2_Rate_the_facto_ting_to_new_practice,8
144,group_mx3du33,group_zb2fl79,C_2_3_Rate_the_factors_behind_burning,6
